user_name,task_id,task_title,session_order,session_elapsed_minutes,elapsed_minutes,progress_percent,focus_raw,focus_level,previous_ai_total_minutes,updated_ai_total_minutes,actual_minutes,error_minutes_updated_total_minus_actual,absolute_error_minutes,absolute_percentage_error,progress_based_remaining_minutes,normalized_remaining_minutes,blending_weight,final_remaining_minutes,focus_weight
세진,14,운체보 개념 이해,12,18.0,495.0,75.0,보통,MEDIUM,588.26,609.78,1000.0,-390.22,390.22,39.02,165.0,165.0,0.3,114.78,1.0
세진,14,운체보 개념 이해,13,28.0,523.0,80.0,완전 몰입,VERY_HIGH,609.78,644.77,1000.0,-355.23,355.23,35.52,130.75,196.12,0.32,121.77,1.5
세진,14,운체보 개념 이해,14,79.0,602.0,85.0,완전 몰입,VERY_HIGH,644.77,684.41,1000.0,-315.59,315.59,31.56,106.24,159.35,0.34,82.41,1.5
세진,16,멀코컴 03 정리 마무리,1,55.0,55.0,90.0,완전 몰입,VERY_HIGH,57.12,59.66,73.0,-13.34,13.34,18.28,6.11,9.17,0.36,4.66,1.5
세진,16,멀코컴 03 정리 마무리,2,18.0,73.0,100.0,완전 몰입,VERY_HIGH,59.66,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
세진,17,멀코컴 04-1 강의 정리,1,18.0,18.0,20.0,보통,MEDIUM,129.74,126.56,311.0,-184.44,184.44,59.3,72.0,72.0,0.08,108.56,1.0
세진,17,멀코컴 04-1 강의 정리,2,53.0,71.0,50.0,완전 몰입,VERY_HIGH,126.56,136.75,311.0,-174.25,174.25,56.03,71.0,106.5,0.2,65.75,1.5
세진,17,멀코컴 04-1 강의 정리,3,29.0,100.0,55.0,완전 몰입,VERY_HIGH,136.75,155.66,311.0,-155.34,155.34,49.95,81.82,122.73,0.22,55.66,1.5
세진,17,멀코컴 04-1 강의 정리,4,11.0,111.0,60.0,보통,MEDIUM,155.66,162.71,311.0,-148.29,148.29,47.68,74.0,74.0,0.24,51.71,1.0
세진,17,멀코컴 04-1 강의 정리,5,37.0,148.0,75.0,꽤 집중,HIGH,162.71,176.05,311.0,-134.95,134.95,43.39,49.33,59.2,0.3,28.05,1.2
세진,17,멀코컴 04-1 강의 정리,6,30.0,178.0,85.0,완전 몰입,VERY_HIGH,176.05,192.74,311.0,-118.26,118.26,38.03,31.41,47.12,0.34,14.74,1.5
세진,17,멀코컴 04-1 강의 정리,7,69.0,247.0,90.0,산만,LOW,192.74,277.0,311.0,-34.0,34.0,10.93,27.44,21.96,0.36,30.0,0.8
세진,17,멀코컴 04-1 강의 정리,8,23.0,270.0,90.0,꽤 집중,HIGH,277.0,287.44,311.0,-23.56,23.56,7.58,30.0,36.0,0.36,17.44,1.2
세진,17,멀코컴 04-1 강의 정리,9,41.0,311.0,100.0,완전 몰입,VERY_HIGH,287.44,311.0,311.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
세진,19,멀코컴 과제 1,1,34.0,34.0,10.0,완전 몰입,VERY_HIGH,261.7,270.95,367.0,-96.05,96.05,26.17,306.0,459.0,0.04,236.95,1.5
세진,19,멀코컴 과제 1,2,67.0,101.0,30.0,완전 몰입,VERY_HIGH,270.95,292.98,367.0,-74.02,74.02,20.17,235.67,353.5,0.12,191.98,1.5
세진,19,멀코컴 과제 1,3,94.0,195.0,40.0,보통,MEDIUM,292.98,324.1,367.0,-42.9,42.9,11.69,292.5,292.5,0.16,129.1,1.0
세진,19,멀코컴 과제 1,4,81.0,276.0,70.0,완전 몰입,VERY_HIGH,324.1,360.31,367.0,-6.69,6.69,1.82,118.29,177.43,0.28,84.31,1.5
세진,19,멀코컴 과제 1,5,12.0,288.0,80.0,완전 몰입,VERY_HIGH,360.31,371.73,367.0,4.73,4.73,1.29,72.0,108.0,0.32,83.73,1.5
세진,19,멀코컴 과제 1,6,79.0,367.0,100.0,완전 몰입,VERY_HIGH,371.73,369.84,367.0,2.84,2.84,0.77,0.0,0.0,0.4,2.84,1.5
세진,20,멀코컴 04-2 강의 정리,1,26.0,26.0,70.0,꽤 집중,HIGH,69.58,61.12,67.0,-5.88,5.88,8.78,11.14,13.37,0.28,35.12,1.2
세진,20,멀코컴 04-2 강의 정리,2,41.0,67.0,100.0,완전 몰입,VERY_HIGH,61.12,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,1.5
나영,1,데사 2주차 공부,1,60.0,60.0,15.0,꽤 집중,HIGH,397.76,401.98,621.0,-219.02,219.02,35.27,340.0,408.0,0.06,341.98,1.2
나영,1,데사 2주차 공부,2,20.0,80.0,20.0,완전 몰입,VERY_HIGH,401.98,414.62,621.0,-206.38,206.38,33.23,320.0,480.0,0.08,334.62,1.5
나영,1,데사 2주차 공부,3,27.0,107.0,25.0,보통,MEDIUM,414.62,415.96,621.0,-205.04,205.04,33.02,321.0,321.0,0.1,308.96,1.0
나영,1,데사 2주차 공부,4,37.0,144.0,30.0,보통,MEDIUM,415.96,423.64,621.0,-197.36,197.36,31.78,336.0,336.0,0.12,279.64,1.0
나영,1,데사 2주차 공부,5,64.0,208.0,40.0,꽤 집중,HIGH,423.64,449.04,621.0,-171.96,171.96,27.69,312.0,374.4,0.16,241.04,1.2
나영,1,데사 2주차 공부,6,86.0,294.0,50.0,꽤 집중,HIGH,449.04,488.6,621.0,-132.4,132.4,21.32,294.0,352.8,0.2,194.6,1.2
나영,1,데사 2주차 공부,7,35.0,329.0,55.0,꽤 집중,HIGH,488.6,524.55,621.0,-96.45,96.45,15.53,269.18,323.02,0.22,195.55,1.2
나영,1,데사 2주차 공부,8,62.0,391.0,60.0,보통,MEDIUM,524.55,555.06,621.0,-65.94,65.94,10.62,260.67,260.67,0.24,164.06,1.0
나영,1,데사 2주차 공부,9,40.0,431.0,65.0,꽤 집중,HIGH,555.06,595.21,621.0,-25.79,25.79,4.15,232.08,278.49,0.26,164.21,1.2
나영,1,데사 2주차 공부,10,39.0,470.0,70.0,꽤 집중,HIGH,595.21,627.83,621.0,6.83,6.83,1.1,201.43,241.71,0.28,157.83,1.2
나영,1,데사 2주차 공부,11,46.0,516.0,75.0,꽤 집중,HIGH,627.83,656.2,621.0,35.2,35.2,5.67,172.0,206.4,0.3,140.2,1.2
나영,1,데사 2주차 공부,12,105.0,621.0,100.0,꽤 집중,HIGH,656.2,642.12,621.0,21.12,21.12,3.4,0.0,0.0,0.4,21.12,1.2
나영,2,건여 3주차 2번째 영상,1,13.0,13.0,25.0,꽤 집중,HIGH,55.31,55.76,35.0,20.76,20.76,59.32,39.0,46.8,0.1,42.76,1.2
나영,2,건여 3주차 2번째 영상,2,22.0,35.0,100.0,완전 몰입,VERY_HIGH,55.76,47.46,35.0,12.46,12.46,35.59,0.0,0.0,0.4,12.46,1.5
나영,3,데사 3주차 공부,1,8.0,8.0,5.0,완전 몰입,VERY_HIGH,258.07,257.63,510.0,-252.37,252.37,49.48,152.0,228.0,0.02,249.63,1.5
나영,3,데사 3주차 공부,2,54.0,62.0,25.0,꽤 집중,HIGH,257.63,260.39,510.0,-249.61,249.61,48.94,186.0,223.2,0.1,198.39,1.2
나영,3,데사 3주차 공부,3,18.0,80.0,35.0,완전 몰입,VERY_HIGH,260.39,266.33,510.0,-243.67,243.67,47.78,148.57,222.86,0.14,186.33,1.5
나영,3,데사 3주차 공부,4,35.0,115.0,45.0,완전 몰입,VERY_HIGH,266.33,277.04,510.0,-232.96,232.96,45.68,140.56,210.83,0.18,162.04,1.5
나영,3,데사 3주차 공부,5,58.0,173.0,60.0,완전 몰입,VERY_HIGH,277.04,293.59,510.0,-216.41,216.41,42.43,115.33,173.0,0.24,120.59,1.5
나영,3,데사 3주차 공부,6,13.0,186.0,65.0,완전 몰입,VERY_HIGH,293.59,304.68,510.0,-205.32,205.32,40.26,100.15,150.23,0.26,118.68,1.5
나영,3,데사 3주차 공부,7,55.0,241.0,75.0,꽤 집중,HIGH,304.68,314.49,510.0,-195.51,195.51,38.33,80.33,96.4,0.3,73.49,1.2
나영,3,데사 3주차 공부,8,19.0,260.0,80.0,완전 몰입,VERY_HIGH,314.49,328.26,510.0,-181.74,181.74,35.64,65.0,97.5,0.32,68.26,1.5
나영,3,데사 3주차 공부,9,42.0,302.0,85.0,보통,MEDIUM,328.26,337.45,510.0,-172.55,172.55,33.83,53.29,53.29,0.34,35.45,1.0
나영,3,데사 3주차 공부,11,44.0,346.0,90.0,꽤 집중,HIGH,337.45,357.14,510.0,-152.86,152.86,29.97,38.44,46.13,0.36,11.14,1.2
나영,3,데사 3주차 공부,12,164.0,510.0,100.0,산만,LOW,357.14,510.0,510.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8
나영,10,연구 데이터셋 돌리기,1,15.0,15.0,15.0,보통,MEDIUM,128.41,126.7,87.0,39.7,39.7,45.64,85.0,85.0,0.06,111.7,1.0
나영,10,연구 데이터셋 돌리기,2,72.0,87.0,100.0,완전 몰입,VERY_HIGH,126.7,110.82,87.0,23.82,23.82,27.38,0.0,0.0,0.4,23.82,1.5
나영,11,캡디 UI 1차 수정,1,55.0,55.0,100.0,꽤 집중,HIGH,56.78,56.07,55.0,1.07,1.07,1.94,0.0,0.0,0.4,1.07,1.2
